No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20020,19539,39559,21896,21013,42909
2,Five level 5**,Number,30,16,46,30,17,47
3,Five level 5**,Percentage,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
4,Five level 5* or above,Number,241,234,475,245,242,487
5,Five level 5* or above,Percentage,1.2%,1.2%,1.2%,1.1%,1.2%,1.1%
6,Five level 5 or above,Number,857,899,1756,877,925,1802
7,Five level 5 or above,Percentage,4.3%,4.6%,4.4%,4.0%,4.4%,4.2%
8,Five level 4 or above,Number,3220,3495,6715,3328,3616,6944
9,Five level 4 or above,Percentage,16.1%,17.9%,17.0%,15.2%,17.2%,16.2%
10,Five level 3 or above,Number,7756,8300,16056,8109,8664,16773
11,Five level 3 or above,Percentage,38.7%,42.5%,40.6%,37.0%,41.2%,39.1%
12,Five level 2 or above,Number,15881,16200,32081,17077,17195,34272
13,Five level 2 or above,Percentage,79.3%,82.9%,81.1%,78.0%,81.8%,79.9%
14,Five level 1 or above,Number,17939,18112,36051,19464,19364,38828
15,Five level 1 or above,Percentage,89.6%,92.7%,91.1%,88.9%,92.2%,90.5%
16,Four level 1 or above,Number,18834,18750,37584,20502,20090,40592
17,Four level 1 or above,Percentage,94.1%,96.0%,95.0%,93.6%,95.6%,94.6%
18,Three level 1 or above,Number,19348,19122,38470,21091,20522,41613
19,Three level 1 or above,Percentage,96.6%,97.9%,97.2%,96.3%,97.7%,97.0%
20,Two level 1 or above,Number,19672,19358,39030,21467,20793,42260
21,Two level 1 or above,Percentage,98.3%,99.1%,98.7%,98.0%,99.0%,98.5%
22,One level 1 or above,Number,19890,19485,39375,21726,20944,42670
23,One level 1 or above,Percentage,99.4%,99.7%,99.5%,99.2%,99.7%,99.4%
