No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,166,212,118,20,2,,,,518
2,5**,Percentage,2.3%,3.0%,1.7%,0.3%,0.0%,,,,7.2%
3,5*,Number,83,355,616,265,54,8,,,1381
4,5*,Percentage,1.2%,5.0%,8.6%,3.7%,0.8%,0.1%,,,19.3%
5,5,Number,11,167,560,739,424,93,9,1,2004
6,5,Percentage,0.2%,2.3%,7.8%,10.3%,5.9%,1.3%,0.1%,0.0%,28.0%
7,4,Number,,14,161,530,907,581,134,16,2343
8,4,Percentage,,0.2%,2.3%,7.4%,12.7%,8.1%,1.9%,0.2%,32.8%
9,3,Number,,,1,12,93,295,235,63,699
10,3,Percentage,,,0.0%,0.2%,1.3%,4.1%,3.3%,0.9%,9.8%
11,2,Number,,,,,2,29,63,100,194
12,2,Percentage,,,,,0.0%,0.4%,0.9%,1.4%,2.7%
13,1,Number,,,,,,,,9,9
14,1,Percentage,,,,,,,,0.1%,0.1%
15,U,Number,,,,,,,,1,1
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,260,748,1456,1566,1482,1006,441,190,7149
18,Total,Percentage,3.6%,10.5%,20.4%,21.9%,20.7%,14.1%,6.2%,2.7%,100.0%
