No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,220,254,147,25,2,,,,648
2,5**,Percentage,2.7%,3.1%,1.8%,0.3%,0.0%,,,,7.8%
3,5*,Number,103,409,702,315,67,10,,,1606
4,5*,Percentage,1.2%,4.9%,8.5%,3.8%,0.8%,0.1%,,,19.4%
5,5,Number,11,183,632,825,491,109,12,2,2265
6,5,Percentage,0.1%,2.2%,7.6%,10.0%,5.9%,1.3%,0.1%,0.0%,27.3%
7,4,Number,1,15,174,591,1039,667,164,30,2681
8,4,Percentage,0.0%,0.2%,2.1%,7.1%,12.5%,8.1%,2.0%,0.4%,32.4%
9,3,Number,,,1,13,112,332,261,95,814
10,3,Percentage,,,0.0%,0.2%,1.4%,4.0%,3.2%,1.1%,9.8%
11,2,Number,,,,,5,36,73,139,253
12,2,Percentage,,,,,0.1%,0.4%,0.9%,1.7%,3.1%
13,1,Number,,,,,,,,15,15
14,1,Percentage,,,,,,,,0.2%,0.2%
15,U,Number,,,,,,,,2,2
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,335,861,1656,1769,1716,1154,510,283,8284
18,Total,Percentage,4.0%,10.4%,20.0%,21.4%,20.7%,13.9%,6.2%,3.4%,100.0%
