No.,Description,Type,Day school candidates taking at least five Category A / B subjects# - Male,Day school candidates taking at least five Category A / B subjects# - Female,Day school candidates taking at least five Category A / B subjects# - Total,All candidates taking at least five Category A / B subjects# - Male,All candidates taking at least five Category A / B subjects# - Female,All candidates taking at least five Category A / B subjects# - Total
1,No. of candidates,Number,20024,19543,39567,21947,21028,42975
2,Total grade points 10 – 12,Number,2344,2241,4585,2619,2445,5064
3,Total grade points 10 – 12,Percentage,11.7%,11.5%,11.6%,11.9%,11.6%,11.8%
4,Total grade points 13 – 15,Number,3084,3550,6634,3369,3780,7149
5,Total grade points 13 – 15,Percentage,15.4%,18.2%,16.8%,15.4%,18.0%,16.6%
6,Total grade points 16 – 18,Number,3192,3511,6703,3406,3682,7088
7,Total grade points 16 – 18,Percentage,15.9%,18.0%,16.9%,15.5%,17.5%,16.5%
8,Total grade points 19 – 21,Number,2439,2807,5246,2566,2944,5510
9,Total grade points 19 – 21,Percentage,12.2%,14.4%,13.3%,11.7%,14.0%,12.8%
10,Total grade points 22 – 24,Number,1601,1637,3238,1680,1723,3403
11,Total grade points 22 – 24,Percentage,8.0%,8.4%,8.2%,7.7%,8.2%,7.9%
12,Total grade points 25 – 27,Number,989,836,1825,1040,880,1920
13,Total grade points 25 – 27,Percentage,4.9%,4.3%,4.6%,4.7%,4.2%,4.5%
14,Total grade points 28 – 30,Number,555,442,997,579,464,1043
15,Total grade points 28 – 30,Percentage,2.8%,2.3%,2.5%,2.6%,2.2%,2.4%
16,Total grade points 31 – 33,Number,305,223,528,318,234,552
17,Total grade points 31 – 33,Percentage,1.5%,1.1%,1.3%,1.4%,1.1%,1.3%
18,Total grade points 34 – 35,Number,103,58,161,107,61,168
19,Total grade points 34 – 35,Percentage,0.5%,0.3%,0.4%,0.5%,0.3%,0.4%
