No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,62,106,103,135,68,15,,,489
2,5**,Percentage,0.1%,0.2%,0.2%,0.3%,0.2%,0.0%,,,1.1%
3,5*,Number,80,188,272,467,287,56,6,,1356
4,5*,Percentage,0.2%,0.4%,0.6%,1.1%,0.7%,0.1%,0.0%,,3.2%
5,5,Number,81,234,434,921,739,230,21,2,2662
6,5,Percentage,0.2%,0.5%,1.0%,2.2%,1.7%,0.5%,0.0%,0.0%,6.2%
7,4,Number,101,396,856,2719,3321,1546,182,25,9146
8,4,Percentage,0.2%,0.9%,2.0%,6.4%,7.8%,3.6%,0.4%,0.1%,21.5%
9,3,Number,58,208,525,2433,4888,4450,1107,220,13889
10,3,Percentage,0.1%,0.5%,1.2%,5.7%,11.5%,10.4%,2.6%,0.5%,32.6%
11,2,Number,11,66,163,677,2181,4449,2553,1176,11276
12,2,Percentage,0.0%,0.2%,0.4%,1.6%,5.1%,10.4%,6.0%,2.8%,26.5%
13,1,Number,1,5,12,63,142,585,911,1164,2883
14,1,Percentage,0.0%,0.0%,0.0%,0.1%,0.3%,1.4%,2.1%,2.7%,6.8%
15,U,Number,,1,3,21,35,65,165,620,910
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.2%,0.4%,1.5%,2.1%
17,Total,Number,394,1204,2368,7436,11661,11396,4945,3207,42611
18,Total,Percentage,0.9%,2.8%,5.6%,17.5%,27.4%,26.7%,11.6%,7.5%,100.0%
